Premise,Hypothesis,Label
False claims about warranties or guarantees are illegal.,"The Trader shall not make any false or misleading statements regarding warranties, guarantees, or the terms of coverage for goods or services.",ENTAILMENT
False claims about warranties or guarantees are illegal.,"Traders may misrepresent warranties, guarantees, or product assurances without liability.",CONTRADICTION
All service contracts have an implied warranty of due care and skill.,All services provided under this Agreement shall be performed with due care and skill.,ENTAILMENT
All service contracts have an implied warranty of due care and skill.,No implied warranty of due care or skill shall apply to the provision of services.,CONTRADICTION
Materials supplied with services must be fit for their intended purpose.,Any materials supplied in connection with services shall be reasonably fit for their intended purpose.,ENTAILMENT
Materials supplied with services must be fit for their intended purpose.,Materials provided in connection with services need not be fit for their intended purpose.,CONTRADICTION
All goods and services must meet determined standards and specifications.,Goods and services supplied shall conform to applicable standards and specifications determined by law.,ENTAILMENT
All goods and services must meet determined standards and specifications.,Goods and services may be supplied without regard to standards or specifications.,CONTRADICTION
All goods must be reasonably fit for their intended purpose.,All goods supplied shall be reasonably fit for their intended purpose.,ENTAILMENT
All goods must be reasonably fit for their intended purpose.,Goods supplied may be unfit for their intended purpose without liability.,CONTRADICTION
"When consumers specify a purpose, there is an implied warranty goods/services will be fit for that stated purpose.","Where the Consumer specifies a particular purpose, the goods or services shall be reasonably fit to achieve that purpose.",ENTAILMENT
"When consumers specify a purpose, there is an implied warranty goods/services will be fit for that stated purpose.",No warranty applies to goods or services supplied for a purpose specified by the consumer.,CONTRADICTION
Contract clauses excluding liability for death or personal injury from negligence must be ignored.,Nothing in this Agreement shall exclude or restrict liability for death or personal injury arising from negligence.,ENTAILMENT
Contract clauses excluding liability for death or personal injury from negligence must be ignored.,The parties agree that any provision attempting to exclude or limit liability for death or personal injury resulting from negligence shall be null and void and of no effect.,CONTRADICTION
Contract clauses excluding liability for other loss/damage from negligence must be reasonable.,Any limitation of liability for negligence shall apply only to the extent that it is reasonable under the circumstances.,ENTAILMENT
Contract clauses excluding liability for other loss/damage from negligence must be reasonable.,Any term attempting to restrict liability for loss or damage arising from negligence shall only apply to the extent that it is fair and reasonable under the circumstances.,CONTRADICTION
Awareness or agreement to a negligence exclusion clause does not mean acceptance of risk.,A party’s acknowledgment of any limitation of liability shall not be deemed acceptance of any risk.,ENTAILMENT
Awareness or agreement to a negligence exclusion clause does not mean acceptance of risk.,"A party’s knowledge or acceptance of a term excluding or limiting liability for negligence shall not, by itself, constitute consent to assume the risk",CONTRADICTION
Cannot perform substantially different obligations than agreed.,The other party shall perform contractual obligations as reasonably expected under the contract.,ENTAILMENT
Cannot perform substantially different obligations than agreed.,The party shall perform its contractual obligations as agreed and may not substitute substantially different performance without prior consent,CONTRADICTION
Cannot avoid performance completely unless contract term is reasonable.,The other party shall not refuse to perform contractual obligations except as permitted under reasonable terms.,ENTAILMENT
Cannot avoid performance completely unless contract term is reasonable.,No party shall refuse to perform its contractual obligations unless such refusal satisfies the test of fairness and reasonableness.,CONTRADICTION
Consumer cannot be required to indemnify another’s negligence or breach unless reasonable.,The Consumer shall not be required to indemnify another party for negligence or breach of contract except where reasonable.,ENTAILMENT
Consumer cannot be required to indemnify another’s negligence or breach unless reasonable.,A consumer shall not be obliged to indemnify any other party for negligence or breach of contract except where such obligation is reasonable in all circumstances.,CONTRADICTION
Guarantees cannot exclude liability for defective goods in consumer use.,No provision of this Agreement shall exclude liability for any loss or damage arising from defective goods in consumer use.,ENTAILMENT
Guarantees cannot exclude liability for defective goods in consumer use.,No guarantee shall exclude or limit liability for loss or damage arising from defective goods used by consumers,CONTRADICTION
Guarantees cannot exclude liability for manufacturer/distributor negligence.,No provision shall exclude liability for negligence by the manufacturer or distributor of goods.,ENTAILMENT
Guarantees cannot exclude liability for manufacturer/distributor negligence.,Liability for negligence by any person involved in the manufacture or distribution of goods cannot be excluded by any contractual provision or notice.,CONTRADICTION
"Cannot exclude consumer protections for quality, fitness for purpose, and sale by sample.",Any clause excluding rights under the Sale of Goods Ordinance shall be void.,ENTAILMENT
"Cannot exclude consumer protections for quality, fitness for purpose, and sale by sample.","Any term purporting to limit a consumer’s statutory rights regarding quality, fitness for purpose, or sale by sample shall be ineffective.",CONTRADICTION
Cannot exclude consumer protections in hire-purchase agreements.,Any clause excluding rights under the Consumer Credit Act shall be void,ENTAILMENT
Cannot exclude consumer protections in hire-purchase agreements.,No clause shall exclude or limit statutory protections under the Consumer Credit Act relating to hire-purchase agreements,CONTRADICTION
Cannot use another contract to bypass protections under this Act.,No rights or obligations under another contract shall be used to circumvent this Act,ENTAILMENT
Cannot use another contract to bypass protections under this Act.,Rights or liabilities arising from other contracts cannot be invoked to circumvent the provisions of this Act,CONTRADICTION
Reasonableness test: term must be fair given circumstances at contract formation.,A contract term shall be deemed reasonable if it is fair considering the circumstances at the time of contract formation.,ENTAILMENT
Reasonableness test: term must be fair given circumstances at contract formation.,"A contractual term shall be considered reasonable if, at the time of contract formation, it is fair and equitable in view of the known or foreseeable circumstances.",CONTRADICTION
Party claiming reasonableness must prove it.,The party asserting a term is reasonable shall bear the burden of proof.,ENTAILMENT
Party claiming reasonableness must prove it.,The burden of proof for the reasonableness of a term lies with the party asserting its enforceability.,CONTRADICTION
Cannot avoid liability by imposing burdensome conditions.,No term shall make liability subject to restrictive or onerous conditions.,ENTAILMENT
Cannot avoid liability by imposing burdensome conditions.,Liability cannot be made subject to restrictive or onerous conditions to avoid its effect.,CONTRADICTION
Cannot restrict remedies or penalize someone for pursuing rights.,No term shall limit rights or remedies or penalize a party for pursuing them.,ENTAILMENT
Cannot restrict remedies or penalize someone for pursuing rights.,No clause shall limit the remedies available or penalize a party for exercising rights provided under this Act,CONTRADICTION
Cannot restrict rules of evidence or procedure via contract.,No term shall exclude or restrict the application of rules of evidence or procedure.,ENTAILMENT
Cannot restrict rules of evidence or procedure via contract.,Contract terms shall not restrict the application of rules of evidence or procedure in enforcing rights under this Act,CONTRADICTION
A sale of goods contract involves transfer of ownership for money.,The Seller agrees to transfer ownership of the goods to the Buyer in exchange for the agreed price.,ENTAILMENT
A sale of goods contract involves transfer of ownership for money.,"The Seller agrees to transfer ownership of goods to the Buyer in exchange for the agreed price, as defined under the Sale of Goods Ordinance.",CONTRADICTION
A sale of goods contract must be evidenced in writing or performance (acceptance or payment).,"The Parties agree that the sale of goods shall be binding only if the Buyer accepts the goods, pays the price, or the contract is evidenced in writing signed by the Parties.",ENTAILMENT
A sale of goods contract must be evidenced in writing or performance (acceptance or payment).,"The Buyer agrees to accept or pay for the goods, or the contract shall be recorded in writing and signed by the Parties to be enforceable.",CONTRADICTION
Seller must have the legal right to sell the goods.,The Seller warrants that it has full legal right to sell the goods.,ENTAILMENT
Seller must have the legal right to sell the goods.,The Seller warrants that he has the legal right to sell the goods at the time ownership passes.,CONTRADICTION
Buyer has right to quiet possession of the goods.,The Buyer shall enjoy quiet possession of the goods without interference,ENTAILMENT
Buyer has right to quiet possession of the goods.,The Buyer shall enjoy peaceful and uninterrupted possession of the goods upon transfer.,CONTRADICTION
Goods must be free from unknown liens/encumbrances.,The Seller warrants that the goods are free from any undisclosed charges or encumbrances at the time of sale.,ENTAILMENT
Goods must be free from unknown liens/encumbrances.,The Seller guarantees that the goods are free from undisclosed charges or liens at the time of sale.,CONTRADICTION
Goods sold by description must match that description.,The Seller guarantees that all goods sold by description or sample shall strictly correspond to the description or sample provided.,ENTAILMENT
Goods sold by description must match that description.,Goods sold by description or sample shall conform strictly to the description provided.,CONTRADICTION
"If buyer states a specific purpose, goods must be fit for that purpose.",The Seller warrants that the goods shall be fit for the particular purpose made known by the Buyer.,ENTAILMENT
"If buyer states a specific purpose, goods must be fit for that purpose.",The Seller warrants that goods supplied for a particular purpose are fit for that purpose when such purpose is made known.,CONTRADICTION
Goods bought by description must be of merchantable quality.,"The Seller warrants that all goods sold by description shall be of merchantable quality, except for defects that could have been discovered upon reasonable examination by the Buyer",ENTAILMENT
Goods bought by description must be of merchantable quality.,The Seller warrants that goods sold by description are of merchantable quality unless defects are apparent upon reasonable examination by the Buyer.,CONTRADICTION
Express contract terms cannot remove implied warranties unless they directly conflict.,No express warranty or condition in this Agreement shall negate any statutory implied warranty or condition unless explicitly inconsistent with it.,ENTAILMENT
Express contract terms cannot remove implied warranties unless they directly conflict.,Express contract terms shall not override implied warranties unless expressly conflicting with them.,CONTRADICTION
Goods sold by sample must match the sample in quality.,"In contracts for the sale of goods by sample, the Seller warrants that the bulk of goods shall correspond in quality to the sample provided.",ENTAILMENT
Goods sold by sample must match the sample in quality.,Goods sold by sample shall correspond in quality with the sample provided.,CONTRADICTION
Goods sold by sample must be free from hidden defects.,"In contracts for the sale of goods by sample, the Seller warrants that the goods shall be free from hidden defects which would render them unmerchantable and are not apparent on reasonable examination of the sample.",ENTAILMENT
Goods sold by sample must be free from hidden defects.,The Seller warrants that goods sold by sample are free from hidden defects not discoverable by reasonable inspection.,CONTRADICTION
Seller must deliver goods and buyer must accept and pay as agreed.,"The Seller shall deliver the goods, and the Buyer shall accept and pay for the goods, in accordance with the terms of this Agreement.",ENTAILMENT
Seller must deliver goods and buyer must accept and pay as agreed.,"The Seller shall deliver the goods, and the Buyer shall accept and pay for them as per the contract terms.",CONTRADICTION
Delivery and payment must occur at the same time unless agreed otherwise.,"Unless otherwise agreed, delivery of goods and payment of the price shall occur concurrently; the Seller shall be ready to deliver, and the Buyer shall be ready to pay, at the same time.",ENTAILMENT
Delivery and payment must occur at the same time unless agreed otherwise.,Delivery of goods and payment shall occur concurrently unless otherwise agreed in writing.,CONTRADICTION
Cash price must be disclosed in writing before entering a hire-purchase agreement.,The Owner shall disclose in writing to the Hirer the cash price of the goods prior to entering into this Agreement.,ENTAILMENT
Cash price must be disclosed in writing before entering a hire-purchase agreement.,The Owner shall disclose the cash price of the goods in writing prior to entering a hire-purchase agreement.,CONTRADICTION
Hire-purchase agreements not complying with statutory form and disclosure requirements are unenforceable.,"This Agreement shall be in writing, signed by all parties, and shall contain the hire-purchase price, cash price, instalments, payment schedule, a description of the goods, and the statutory notice as required. A copy of this Agreement shall be delivered to the Hirer within fourteen (14) days of execution.",ENTAILMENT
Hire-purchase agreements not complying with statutory form and disclosure requirements are unenforceable.,"The Owner shall ensure that the hire-purchase agreement meets statutory writing, signing, disclosure, and delivery requirements to be enforceable.",CONTRADICTION
"Hire-purchase agreements must clearly state price, instalments, deposit, and goods details.",This Agreement shall state: (i) the hire-purchase price; (ii) the cash price; (iii) the amount and due dates of each instalment; and (iv) a description of the goods sufficient to identify them.,ENTAILMENT
"Hire-purchase agreements must clearly state price, instalments, deposit, and goods details.","The hire-purchase agreement shall clearly state the hire-purchase price, cash price, instalments, and description of goods.",CONTRADICTION
Mandatory statutory notice must be prominently included in the agreement.,"The statutory notice, in the prescribed format, shall be prominently displayed within this Agreement.",ENTAILMENT
Mandatory statutory notice must be prominently included in the agreement.,The statutory notice in the prescribed form shall be prominently included in the hire-purchase agreement.,CONTRADICTION
Hirer must have quiet possession of the goods.,The Hirer shall have and enjoy quiet possession of the goods throughout the term of this Agreement.,ENTAILMENT
Hirer must have quiet possession of the goods.,The Hirer shall have and enjoy quiet possession of the goods under the hire-purchase agreement.,CONTRADICTION
Owner must have the legal right to sell the goods.,The Owner warrants that they have the legal right to sell the goods at the time property is to pass to the Hirer,ENTAILMENT
Owner must have the legal right to sell the goods.,The Owner warrants that he has the legal right to sell the goods at the time ownership passes to the Hirer.,CONTRADICTION
Goods must be free from undisclosed charges or encumbrances.,The Owner warrants that the goods are free from any undisclosed charge or encumbrance in favour of any third party at the time of this Agreement.,ENTAILMENT
Goods must be free from undisclosed charges or encumbrances.,The Owner warrants that the goods are free from any undisclosed charges or encumbrances at the time of sale.,CONTRADICTION
Goods must be of merchantable quality unless a lawful exception applies.,"The goods supplied under this Agreement shall be of merchantable quality, except as lawfully excepted.",ENTAILMENT
Goods must be of merchantable quality unless a lawful exception applies.,"The Owner warrants that all goods supplied under this agreement are of merchantable quality, except as lawfully excluded.",CONTRADICTION
Goods must be fit for the purpose made known by the hirer.,"Where the Hirer has made known a particular purpose, the goods shall be reasonably fit for that purpose.",ENTAILMENT
Goods must be fit for the purpose made known by the hirer.,The Owner warrants that goods supplied shall be fit for any particular purpose made known by the Hirer prior to entering this agreement.,CONTRADICTION
Goods sold by sample must match the sample.,"In sales by sample, the bulk of goods shall correspond in quality with the sample provided.",ENTAILMENT
Goods sold by sample must match the sample.,The Owner warrants that goods supplied by sample shall correspond in quality and characteristics to the sample provided.,CONTRADICTION
Goods sold by description must match the description.,"Goods sold by description shall correspond with that description. Where goods are sold by sample and description, both conditions must be satisfied.",ENTAILMENT
Goods sold by description must match the description.,"The Owner warrants that goods supplied by description shall match the description and, if supplied by sample, shall also correspond to the sample.",CONTRADICTION
Fitness-for-purpose exclusions are invalid unless clearly disclosed.,Any provision excluding or modifying fitness-for-purpose obligations is valid only if clearly brought to the attention of the Hirer prior to execution of this Agreement.,ENTAILMENT
Fitness-for-purpose exclusions are invalid unless clearly disclosed.,Any clause attempting to exclude or modify the fitness-for-purpose warranty is void unless specifically brought to the Hirer’s attention and explained prior to agreement.,CONTRADICTION
Excessive hire-purchase charges must be reduced to statutory limits.,"If hire-purchase charges exceed statutory limits, the Hirer’s liability shall be reduced by the excess, and security shall only cover the lawful amount.",ENTAILMENT
Excessive hire-purchase charges must be reduced to statutory limits.,"Any hire-purchase charges exceeding statutory limits shall be reduced, and the Hirer or Guarantor’s liability shall be limited accordingly.",CONTRADICTION
Hirer has a right to early purchase with rebate.,"The Hirer may, at any time before the final instalment is due, elect to complete the purchase by written notice, and shall be entitled to a rebate of charges in accordance with applicable regulations",ENTAILMENT
Hirer has a right to early purchase with rebate.,The Hirer may elect to purchase the goods before the final instalment and shall receive a rebate of charges in accordance with applicable regulations.,CONTRADICTION
Clauses restricting the hirer’s right to terminate are void.,Any term in this Agreement restricting the Hirer’s statutory right to terminate the hire-purchase is void.,ENTAILMENT
Clauses restricting the hirer’s right to terminate are void.,Any clause attempting to restrict the Hirer’s right to terminate the hire-purchase agreement is void.,CONTRADICTION
Hirer is entitled to compensation on unfair repossession.,"If the Hirer suffers loss due to wrongful repossession by a person claiming under the Owner, the Court may order compensation equal to the loss sustained.",ENTAILMENT
Hirer is entitled to compensation on unfair repossession.,The Hirer shall be entitled to compensation for any wrongful repossession of goods under this agreement.,CONTRADICTION
Owner must give proper notice before terminating for default.,The Owner may not recover possession of goods without giving written notice specifying the default and providing at least seven (7) days to remedy.,ENTAILMENT
Owner must give proper notice before terminating for default.,The Owner may not repossess goods for default without providing written notice in the prescribed form and allowing the Hirer a reasonable period to remedy the default,CONTRADICTION
Goods cannot be repossessed without court action after 75% payment.,"Where the Hirer has paid at least three-quarters of the hire-purchase price, property has not passed, and possession rights are intact, the Owner shall only recover goods by legal action.",ENTAILMENT
Goods cannot be repossessed without court action after 75% payment.,"After the Hirer has paid at least 75% of the hire-purchase price, the Owner may only recover possession of the goods through legal action.",CONTRADICTION
Owner must provide agreement copies and payment information on request.,"The Hirer may, on written request and payment of a prescribed fee, obtain a copy of this Agreement and a statement showing amounts paid, amounts due, instalment details, and future payments",ENTAILMENT
Owner must provide agreement copies and payment information on request.,"The Owner shall provide the Hirer, upon written request and payment of prescribed fees, a copy of the agreement and a statement of payments due, paid, and outstanding",CONTRADICTION
Unfair hire-purchase clauses listed in the Act are void.,The following terms are void: (a) Owner may enter premises to repossess goods; (b) Hirer must execute promissory notes; (c) Hirer liable for unforeseeable loss; (d) Owner exempted from agent’s acts; (e) Hirer waives right to counterclaim; (f) Agreement governed by foreign law.,ENTAILMENT
Unfair hire-purchase clauses listed in the Act are void.,Any clause in the hire-purchase agreement listed as void under the Act shall have no effect.,CONTRADICTION
A person must be registered to legally run a finance leasing business.,The Lessor warrants that it is duly registered and authorized to conduct finance leasing business under applicable law,ENTAILMENT
A person must be registered to legally run a finance leasing business.,No person may engage in finance leasing business without a valid registration certificate under this Act.,CONTRADICTION
Only approved financial institutions can get a finance leasing registration.,"The Lessor represents and warrants that it is an approved financial institution eligible for registration under the Finance Leasing Act, No. 56 of 2000",ENTAILMENT
Only approved financial institutions can get a finance leasing registration.,Only financial institutions meeting statutory criteria may obtain registration to carry on finance leasing business.,CONTRADICTION
A lessee has a right to peaceful possession of leased equipment; the lessor must protect it.,"The Lessee shall have uninterrupted and peaceful possession of the Equipment, and the Lessor shall ensure such possession is protected against any interference",ENTAILMENT
A lessee has a right to peaceful possession of leased equipment; the lessor must protect it.,The Lessor shall ensure that the Lessee enjoys peaceful and undisturbed possession of leased equipment during the lease term.,CONTRADICTION
A lessee must care for and properly use the leased equipment.,"The Lessee shall maintain the Equipment in good condition, use it only for its intended purpose, and comply with all manufacturer guidelines",ENTAILMENT
A lessee must care for and properly use the leased equipment.,The Lessee shall properly care for and use the leased equipment in accordance with manufacturer instructions and return it in good condition subject to fair wear and tear.,CONTRADICTION
"If the equipment is not delivered on time or is defective, the lessee may reject and end the lease.","In the event that the Equipment is not delivered within the agreed timeframe or does not conform to the agreed specifications, the Lessee may reject the Equipment and terminate this Lease Agreement",ENTAILMENT
"If the equipment is not delivered on time or is defective, the lessee may reject and end the lease.","The Lessee may reject equipment not delivered as agreed or not conforming to specifications, thereby terminating the lease.",CONTRADICTION
"At the end of the lease, the lessee must return the equipment unless ownership was agreed.","Upon termination or expiry of the Lease Term, the Lessee shall return the Equipment to the Lessor in proper condition, subject to normal wear and tear, unless ownership has been transferred pursuant to this Agreement.",ENTAILMENT
"At the end of the lease, the lessee must return the equipment unless ownership was agreed.","The Lessee shall return leased equipment at the end of the lease, unless the lease grants an option to purchase.",CONTRADICTION
"If the lessee defaults, the lessor can demand full payment, end the lease, reclaim equipment, and seek damages.","Upon material default by the Lessee, the Lessor may accelerate outstanding payments, terminate this Lease, repossess the Equipment, and claim damages for losses incurred",ENTAILMENT
"If the lessee defaults, the lessor can demand full payment, end the lease, reclaim equipment, and seek damages.","The Lessor may accelerate payments, terminate the lease, reclaim equipment, and seek damages for material default by the Lessee.",CONTRADICTION
"Before enforcing default rights, the lessor must serve a written notice specifying the default and a timeline to fix it.","The Lessor shall provide written notice of default to the Lessee via registered post, specifying the nature of the default and providing not less than seven days to remedy the same before exercising any rights under this Lease",ENTAILMENT
"Before enforcing default rights, the lessor must serve a written notice specifying the default and a timeline to fix it.",The Lessor shall provide written notice of default and allow the Lessee a minimum of seven days to remedy the default before enforcement.,CONTRADICTION
Employers must pay wages in cash/legal tender directly to employees and cannot make unauthorized deductions.,The Employer shall pay all wages due to the Employee directly in legal tender and shall not make any unauthorized deductions,ENTAILMENT
Employers must pay wages in cash/legal tender directly to employees and cannot make unauthorized deductions.,"The Employer shall pay wages in legal tender directly to the Worker, without unauthorized deductions, except as permitted by law.",CONTRADICTION
Employers must set a wage period and pay wages within the legal timeframe (3–10 days depending on period length).,The Employer shall establish a wage period not exceeding one month and pay all wages due within the prescribed timeframe based on the duration of the wage period,ENTAILMENT
Employers must set a wage period and pay wages within the legal timeframe (3–10 days depending on period length).,"The Employer shall pay wages in legal tender directly to the Worker, without unauthorized deductions, except as permitted by law.",CONTRADICTION
"When employment ends, the employer must pay all wages due within two working days.","Upon termination or resignation, the Employer shall pay all wages due to the Employee within two working days.",ENTAILMENT
"When employment ends, the employer must pay all wages due within two working days.",The Employer shall pay all wages due to the Worker within two working days upon termination or resignation of employment.,CONTRADICTION
"Employers must keep accurate written wage records including wages paid, dates, hours worked, and deductions.","The Employer shall maintain accurate wage records for the Employee, including payment dates, hours worked, wages paid, and any authorized deductions",ENTAILMENT
"Employers must keep accurate written wage records including wages paid, dates, hours worked, and deductions.","The Employer shall maintain accurate wage records in Sinhala, Tamil, or English, showing wages, payment dates, hours worked, and deductions.",CONTRADICTION
Wage records must be kept for at least four years and produced when requested.,The Employer shall preserve wage records for a minimum of four years and shall produce them for inspection upon request by authorized officials,ENTAILMENT
Wage records must be kept for at least four years and produced when requested.,The Employer shall preserve wage records for at least four years and produce them upon request by an authorized officer.,CONTRADICTION
Employers must give a holiday on Poya days and pay at least 1.5× normal wage if work is done on that day.,"The Employer shall grant the Employee a holiday on every Full Moon Poya Day. If the Employee is required to work on such day, the Employer shall pay at least 1.5 times the normal rate of wages.",ENTAILMENT
Employers must give a holiday on Poya days and pay at least 1.5× normal wage if work is done on that day.,"The Employer shall grant holidays on all Full Moon Poya Days; if the Worker is employed on such days, payment shall be at no less than 1.5 times the normal wage.",CONTRADICTION
A Wages Board sets mandatory minimum wage and overtime rates for specific trades.,The Employer shall pay wages in accordance with the minimum rates prescribed by the relevant Wages Board for the applicable trade or industry,ENTAILMENT
A Wages Board sets mandatory minimum wage and overtime rates for specific trades.,The Parties acknowledge that wages and overtime payments shall not be less than the minimum rates prescribed by the relevant Wages Board.,CONTRADICTION
Employers must pay wages at least at the minimum rate fixed by the relevant Wages Board.,The Employer shall ensure that all wages paid to Employees meet or exceed the minimum rates established and published by the applicable Wages Board.,ENTAILMENT
Employers must pay wages at least at the minimum rate fixed by the relevant Wages Board.,The Employer shall pay wages to Workers at rates not less than the minimum rates published by the relevant Wages Board.,CONTRADICTION
"Violating wage provisions can result in fines up to Rs. 5,000 or imprisonment up to 6 months, or both","Non-compliance with wage obligations may result in fines, imprisonment, or both as provided under the Wages Boards Ordinance, No. 27 of 1941",ENTAILMENT
"Violating wage provisions can result in fines up to Rs. 5,000 or imprisonment up to 6 months, or both","Non-compliance with sections 2, 3, 3A, or 3B shall render the Employer liable to penalties as prescribed under the Ordinance, including fines and/or imprisonment.",CONTRADICTION
Loan agreements must comply with Board-set maximum interest rates and loan term limits.,All loans under this Agreement shall comply with the maximum interest rates and term limits prescribed by the Board,ENTAILMENT
Loan agreements must comply with Board-set maximum interest rates and loan term limits.,"All loan agreements executed under this contract shall comply with maximum interest rates, terms, and conditions as directed by the Board.",CONTRADICTION
Microfinance NGO loan agreements must comply with maximum interest rates and other terms set by the Registrar.,All loans or credit facilities granted by the Lender shall comply with the maximum interest rates and other terms established by the Registrar,ENTAILMENT
Microfinance NGO loan agreements must comply with maximum interest rates and other terms set by the Registrar.,All loans or credit facilities provided by the Microfinance NGO under this agreement shall comply with maximum interest rates and terms as set by the Registrar.,CONTRADICTION
Savings agreements issued by microfinance NGOs must comply with maximum interest rate limits set by the Registrar.,The Lender shall ensure that all savings accounts and deposits comply with the maximum interest rates prescribed by the Registrar,ENTAILMENT
Savings agreements issued by microfinance NGOs must comply with maximum interest rate limits set by the Registrar.,Any savings account agreements under this contract shall adhere to maximum interest rates and terms as determined by the Registrar.,CONTRADICTION
Loan agreements must include consumer protection measures as required by Registrar-issued rules.,The Loan Agreement shall include all consumer protection measures as required by the rules issued by the Registrar,ENTAILMENT
Loan agreements must include consumer protection measures as required by Registrar-issued rules.,All loan and savings agreements executed under this contract shall include consumer protection measures as required by rules issued by the Registrar.,CONTRADICTION
Only licensed or exempt entities can provide microfinance services; agreements from unlicensed lenders are illegal.,"The Borrower acknowledges that the Lender is duly licensed or exempt under the Microfinance Act, No. 6 of 2016, and any loan or financial accommodation provided by an unlicensed entity shall be void and unenforceable.",ENTAILMENT
Only licensed or exempt entities can provide microfinance services; agreements from unlicensed lenders are illegal.,Only licensed or exempt entities may provide microfinance services under this agreement; any agreement with unlicensed entities is void and unenforceable.,CONTRADICTION
Pawnbroker loan contracts must not charge interest above the legally specified maximum rate.,"The Pawner agrees that interest on the loan shall not exceed the maximum rate prescribed under the Pawnbrokers Ordinance, and any applicable taxes may be recovered in addition to such interest.",ENTAILMENT
Pawnbroker loan contracts must not charge interest above the legally specified maximum rate.,The Pawnbroker shall not charge interest on loans exceeding the maximum rates specified by law.,CONTRADICTION
Pawnbroker loan agreements must allow redemption of pledged goods within 12 months.,"The Pawner shall have the right to redeem the pledged item within twelve (12) months from the date of pawning, excluding the day of pawning.",ENTAILMENT
Pawnbroker loan agreements must allow redemption of pledged goods within 12 months.,The Pawner shall have the right to redeem pledged goods within twelve months from the date of pawning.,CONTRADICTION
Pawn contracts must allow redemption on surrender of pawn ticket foil and proper signature.,Redemption of the pledged item shall be allowed upon surrender of the pawn ticket foil and signing it in the presence of the Pawnbroker or authorized agent,ENTAILMENT
Pawn contracts must allow redemption on surrender of pawn ticket foil and proper signature.,The Pawner may redeem any pledged item upon surrendering the pawn ticket foil and signing it in the presence of the Pawnbroker or authorized agent.,CONTRADICTION
Pawnbroker must give 14 days notice before selling a pledged item.,The Pawnbroker shall provide the Pawner with at least fourteen (14) days’ prior written notice of the date and place of any public auction sale of pledged items,ENTAILMENT
Pawnbroker must give 14 days notice before selling a pledged item.,The Pawnbroker shall provide at least fourteen days’ written notice before selling any pledged item at public auction.,CONTRADICTION
"After sale of a pledged item, the pawnbroker must pay the debtor any surplus within one year if demanded.","If the sale of a pledged item results in surplus proceeds exceeding the loan and interest, the Pawnbroker shall pay or deposit such surplus to the Pawner within one (1) year upon request",ENTAILMENT
"After sale of a pledged item, the pawnbroker must pay the debtor any surplus within one year if demanded.",Any surplus from the sale of a pledged item shall be deposited to the Pawner’s credit within one year if no claim is made earlier.,CONTRADICTION
"Contracts involving land or immovable property must be in writing, signed by all parties, and notarised, otherwise they are legally invalid.","The Parties agree that all transactions involving land or immovable property shall be valid only if documented in writing, signed by all parties, and notarized as required under applicable law",ENTAILMENT
"Contracts involving land or immovable property must be in writing, signed by all parties, and notarised, otherwise they are legally invalid.","Any contract, sale, transfer, or mortgage of land must be in writing, signed by all parties, and notarized to be enforceable.",CONTRADICTION
"Land transaction documents must include the thumb impression of each party, affixed before a notary and witnesses.",Each party shall affix their thumb impression beside their signature on all land transaction documents in the presence of a Notary Public and witnesses.,ENTAILMENT
"Land transaction documents must include the thumb impression of each party, affixed before a notary and witnesses.","All land transaction documents must bear the thumb impression of each party, affixed in the presence of a Notary Public and witnesses.",CONTRADICTION
Agreements to guarantee or be responsible for another’s debt must be in writing and signed to be enforceable.,Any obligation to guarantee the debt of another party under this Agreement shall be valid only if in writing and signed by the guarantor,ENTAILMENT
Agreements to guarantee or be responsible for another’s debt must be in writing and signed to be enforceable.,Any agreement to guarantee another’s debt shall be in writing and signed to be enforceable.,CONTRADICTION
Contracts to pledge movable property are invalid unless the property has been physically delivered to the pledgee.,Pledge agreements for movable property shall only be valid upon actual delivery of the pledged item to the pledgee,ENTAILMENT
Contracts to pledge movable property are invalid unless the property has been physically delivered to the pledgee.,Any contract pledging movable property is valid only if the property is physically delivered to the pledgee.,CONTRADICTION
"Partnership agreements with capital exceeding Rs. 1,000 must be in writing and signed by all partners to be valid.","Any partnership agreement with capital exceeding Rs. 1,000 shall be valid only if in writing and signed by all partners",ENTAILMENT
"Partnership agreements with capital exceeding Rs. 1,000 must be in writing and signed by all partners to be valid.","Any partnership with capital exceeding Rs. 1,000 must be in writing and signed by all partners to be enforceable.",CONTRADICTION
Contracts or clauses formed electronically (e‑contracts) cannot be treated as invalid just because they are electronic.,"All electronic communications, records, or contracts exchanged between the Parties shall be legally valid and enforceable",ENTAILMENT
Contracts or clauses formed electronically (e‑contracts) cannot be treated as invalid just because they are electronic.,All contracts or agreements executed electronically shall be legally recognized and enforceable.,CONTRADICTION
"When a law requires writing, an electronic record that can be accessed later is legally equivalent to written form.","Where writing is required, any electronic record that can be reliably accessed for reference shall be considered equivalent to a written document",ENTAILMENT
"When a law requires writing, an electronic record that can be accessed later is legally equivalent to written form.",Any requirement for writing under the law shall be satisfied by an electronic record accessible for future reference.,CONTRADICTION
"If a contract must be kept in original form, an electronic record that reliably preserves integrity counts as original.",Any electronic record maintaining integrity from creation shall be considered as an original document for all legal purposes.,ENTAILMENT
"If a contract must be kept in original form, an electronic record that reliably preserves integrity counts as original.","If a contract or information is required to be kept in original form, an electronic record that reliably preserves its integrity shall be deemed to satisfy this requirement.",CONTRADICTION
