Premise,Hypothesis,Label
"After confinement, a woman worker must give notice within one week of the confinement date and indicate if it was a live birth.",The Employee shall not be required or permitted to notify the Employer following childbirth.,CONTRADICTION
No child under 14 may be employed in industrial undertakings.,The Employer may engage children of any age in industrial work without restriction.,CONTRADICTION
All goods must be reasonably fit for their intended purpose.,Goods supplied may be unfit for their intended purpose without liability.,CONTRADICTION
The Commissioner’s decision on termination approval cannot be challenged in court.,Any decision or order issued by the Commissioner of Labour may be disregarded or challenged by the Employer at its discretion.,CONTRADICTION
Selling goods above the marked price is illegal.,The goods shall not be sold at a price exceeding the price marked or displayed in accordance with directions issued by the Consumer Affairs Authority.,ENTAILMENT
A tenant must obtain written consent before subletting.,The Tenant may freely sublet without the Landlord’s consent.,CONTRADICTION
A landlord must not interfere with a tenant’s lawful occupation.,The Landlord may interfere with or restrict the Tenant’s occupation of the premises.,CONTRADICTION
Owner must provide agreement copies and payment information on request.,"The Hirer may, on written request and payment of a prescribed fee, obtain a copy of this Agreement and a statement showing amounts paid, amounts due, instalment details, and future payments",ENTAILMENT
Workers must complain within 6 months of termination.,Any application relating to unlawful termination shall be made within six (6) months from the date of termination.,ENTAILMENT
Gratuity must be paid to heirs if the employee dies before receiving it.,Gratuity shall lapse upon the death of the Employee and shall not be payable to heirs.,CONTRADICTION
Employers must pay a surcharge for late contributions ranging from 5% to 50% depending on the period of delay.,"The Employer shall be liable to pay a surcharge ranging from 5% to 50% of the contribution amount for any delay in remitting contributions, calculated in accordance with Section 16 of the Act based on the period of delay.",ENTAILMENT
"Manufacturers and traders must comply with labelling, price marking, and packaging directions issued by the Authority.","Manufacturers and traders may ignore any directions issued under this Act regarding labelling, pricing, or packaging.",CONTRADICTION
Children cannot participate in entertainment for which payment is charged.,The Employer shall not engage any child in any entertainment activity where a fee is charged to the audience.,ENTAILMENT
Seller must have the legal right to sell the goods.,The Seller warrants that it has full legal right to sell the goods.,ENTAILMENT
Employers must pay wages at least at the minimum rate fixed by the relevant Wages Board.,The Employer shall ensure that all wages paid to Employees meet or exceed the minimum rates established and published by the applicable Wages Board.,ENTAILMENT
A person must be registered to legally run a finance leasing business.,No person may engage in finance leasing business without a valid registration certificate under this Act.,CONTRADICTION
Cannot restrict remedies or penalize someone for pursuing rights.,No clause shall limit the remedies available or penalize a party for exercising rights provided under this Act,CONTRADICTION
Pawnbroker must give 14 days notice before selling a pledged item.,The Pawnbroker shall provide at least fourteen days’ written notice before selling any pledged item at public auction.,CONTRADICTION
Cannot avoid performance completely unless contract term is reasonable.,No party shall refuse to perform its contractual obligations unless such refusal satisfies the test of fairness and reasonableness.,CONTRADICTION
Compensation amounts are calculated according to a Gazette formula determined by the Commissioner and Minister.,Any compensation payable shall be determined solely by the Employer,CONTRADICTION
A sale of goods contract involves transfer of ownership for money.,The Seller agrees to transfer ownership of the goods to the Buyer in exchange for the agreed price.,ENTAILMENT
Self-employed persons or migrant workers may join the Fund voluntarily by notifying the Board in writing.,No self-employed or migrant worker shall be permitted to participate in the Trust Fund.,CONTRADICTION
Traders cannot engage in misleading or deceptive conduct.,The Trader shall not engage in any misleading or deceptive conduct in the sale or promotion of goods or services.,ENTAILMENT
Annual leave must be taken in the year after the year of employment with dates agreed by employer and employee.,Unused annual leave shall automatically lapse and cannot be taken or carried forward,CONTRADICTION
All ETF contributions must be credited to the employee’s individual account.,Any trust fund contributions made shall remain under the control of the Employer.,CONTRADICTION
A woman worker is entitled to 12 weeks of maternity benefit for a live child: 2 weeks before confinement + 10 weeks after.,Maternity leave shall be limited to a maximum of four weeks regardless of the outcome of confinement.,CONTRADICTION
Contracts or clauses formed electronically (e‑contracts) cannot be treated as invalid just because they are electronic.,All contracts or agreements executed electronically shall be legally recognized and enforceable.,CONTRADICTION
Guarantees cannot exclude liability for manufacturer/distributor negligence.,No provision shall exclude liability for negligence by the manufacturer or distributor of goods.,ENTAILMENT
Mandatory statutory notice must be prominently included in the agreement.,The statutory notice in the prescribed form shall be prominently included in the hire-purchase agreement.,CONTRADICTION
Employers must pay wages at least at the minimum rate fixed by the relevant Wages Board.,The Employer shall pay wages to Workers at rates not less than the minimum rates published by the relevant Wages Board.,CONTRADICTION
"Cannot exclude consumer protections for quality, fitness for purpose, and sale by sample.",Any clause excluding rights under the Sale of Goods Ordinance shall be void.,ENTAILMENT
Only approved financial institutions can get a finance leasing registration.,Only financial institutions meeting statutory criteria may obtain registration to carry on finance leasing business.,CONTRADICTION
Goods sold by sample must match the sample.,The Owner warrants that goods supplied by sample shall correspond in quality and characteristics to the sample provided.,CONTRADICTION
"For rent arrears eviction, advance notice is mandatory (3 months first time, 2 months second, 1 month thereafter).","The Landlord shall provide the legally required advance notice before evicting a Tenant for rent arrears: 3 months for the first instance, 2 months for the second, and 1 month for any subsequent occasion.",ENTAILMENT
Employers must set a wage period and pay wages within the legal timeframe (3–10 days depending on period length).,The Employer shall establish a wage period not exceeding one month and pay all wages due within the prescribed timeframe based on the duration of the wage period,ENTAILMENT
Goods sold by description must match the description.,"The Owner warrants that goods supplied by description shall match the description and, if supplied by sample, shall also correspond to the sample.",CONTRADICTION
A sale of goods contract must be evidenced in writing or performance (acceptance or payment).,"The Parties agree that the sale of goods shall be binding only if the Buyer accepts the goods, pays the price, or the contract is evidenced in writing signed by the Parties.",ENTAILMENT
Retirement-related termination is excluded from this Act.,Termination of employment upon attainment of the statutory minimum retirement age shall be excluded from the provisions of this Act.,ENTAILMENT
Employees who are domestic servants or entitled to a non-contributory pension are not eligible for gratuity.,"All Employees, including domestic servants and pension-eligible persons, are excluded from gratuity entitlements.",CONTRADICTION
Buyer has right to quiet possession of the goods.,The Buyer shall enjoy peaceful and uninterrupted possession of the goods upon transfer.,CONTRADICTION
Goods sold by description must match the description.,"Goods sold by description shall correspond with that description. Where goods are sold by sample and description, both conditions must be satisfied.",ENTAILMENT
Hirer must have quiet possession of the goods.,The Hirer shall have and enjoy quiet possession of the goods under the hire-purchase agreement.,CONTRADICTION
Cannot perform substantially different obligations than agreed.,The party shall perform its contractual obligations as agreed and may not substitute substantially different performance without prior consent,CONTRADICTION
"Land documents must clearly describe the property (location, boundaries, size) to be valid for registration.","Each instrument submitted for registration under this Agreement shall contain a complete and precise description of the land, including boundaries, location, administrative divisions, and municipal or village details, as required by law",ENTAILMENT
"An employer must not dismiss a woman worker during maternity absence, nor have notice expire during that absence.","The Employer may issue notice of dismissal at any time, including during maternity leave.",CONTRADICTION
"If the equipment is not delivered on time or is defective, the lessee may reject and end the lease.","The Lessee may reject equipment not delivered as agreed or not conforming to specifications, thereby terminating the lease.",CONTRADICTION
Persons under 18 cannot be employed at night in industrial undertakings.,The Employer may require employees under the age of eighteen to work night shifts.,CONTRADICTION
"Any document affecting land, ownership, or mortgages falls under this law and may require registration.","For the purposes of this Agreement, ""Land"" shall include all immovable property, structures attached thereto, and any estate, interest, mortgage, or charge thereon.",ENTAILMENT
"If buyer states a specific purpose, goods must be fit for that purpose.",The Seller warrants that goods supplied for a particular purpose are fit for that purpose when such purpose is made known.,CONTRADICTION
Employers must pay gratuity to workmen who have completed the minimum service period.,The Employer shall pay the Employee a gratuity for services rendered upon completion of five years of continuous employment.,ENTAILMENT
Documents missing required land details can be legally rejected and treated as non-compliant.,All instruments shall be accepted for registration even if property details are incomplete or inaccurate.,CONTRADICTION
"An employer must pay maternity benefit at the prescribed rate for the full statutory period (12 weeks for live birth, 6 weeks for non‑live), including extra days under the proviso rule.",The Company shall pay maternity benefits at the prescribed rate for the full maternity leave period as required by law.,ENTAILMENT
Employers must pay 12% of the employee’s monthly earnings to EPF by the last day of the following month.,The Employer shall not make any statutory provident fund contributions on behalf of the Employee.,CONTRADICTION
"If a money lender fails to keep proper loan records, they cannot legally enforce the loan in court.",Failure to comply with record-keeping obligations shall prevent enforcement of the loan in any legal proceedings.,CONTRADICTION
Existing employees must not have reduced wages or benefits after the Act starts.,"The Employer shall maintain all existing wages, allowances, and other monetary benefits of current workers at a level no less favorable than those enjoyed immediately before the Act’s commencement.",ENTAILMENT
Persons under 18 cannot be employed at night in industrial undertakings.,"The Employer shall not require or permit any employee under the age of eighteen years to work during night hours in any industrial undertaking, in compliance with applicable labour laws.",ENTAILMENT
Workers covered by this Act are excluded from Industrial Disputes Act retrenchment rules.,All retrenchment provisions under the Industrial Disputes Act shall apply to this Agreement.,CONTRADICTION
"If employment is terminated due to business closure in violation of the Act, the Commissioner may order compensation instead of reinstatement.","Where reinstatement is impracticable due to business closure, the Commissioner may order the Employer to pay compensation in lieu of reinstatement.",ENTAILMENT
